2023/3/17 上午 09:55:27,Home,Index,N/A
2023/3/17 上午 09:55:35,Products,GetImage,A00006
2023/3/17 上午 09:55:35,Products,GetImage,A00004
2023/3/17 上午 09:55:35,Products,GetImage,A00003
2023/3/17 上午 09:55:35,Products,GetImage,A00007
2023/3/17 上午 09:55:35,Products,GetImage,A00008
2023/3/17 上午 09:55:35,Products,GetImage,A00009
2023/3/17 上午 09:55:35,Products,GetImage,A00010
2023/3/17 上午 09:55:35,Products,GetImage,A00011
2023/3/17 上午 09:55:35,Products,GetImage,A00012
2023/3/17 上午 09:55:35,Products,GetImage,A00013
2023/3/17 上午 10:00:20,Home,Index,N/A,Guest
2023/3/17 上午 10:01:00,Home,Login,N/A,Guest
2023/3/17 上午 10:01:06,Home,Login,N/A,Guest
2023/3/17 上午 10:01:06,Home,Index,N/A,1莊孝維
2023/3/17 上午 11:20:28,Home,Index,N/A,Guest
2023/3/17 上午 11:22:43,Home,Login,N/A,Guest
2023/3/17 上午 11:22:51,Home,Login,N/A,Guest
2023/3/17 上午 11:22:51,Home,Index,N/A,1莊孝維
2023/3/17 上午 11:23:40,Home,Logout,N/A,1莊孝維
2023/3/17 上午 11:23:40,Home,Login,N/A,Guest
2023/3/20 下午 04:03:32,Home,Index,N/A,Guest
2023/3/20 下午 04:03:34,Home,DisplayByTitle,N/A,Guest
